season,round_number,voter,submitter,points,title,artist,submitted_obscurity,submitted_energy_pct,submitted_top_tag,spotify_uri
1,1,"Jonathan Black",Mashew,1,"Leaving The Light","Genesis Owusu",68,86,,spotify:track:35nOLWeyoXbZvhcczCzQit
1,1,"Jonathan Black",Mashew,1,DEViL,IDK,77,98,,spotify:track:5Llanvs8zPL8f6HMY9WWf8
1,1,"Jonathan Black","Michael Layous",-1,"Hollywood Baby","100 gecs",33,100,hyperpop,spotify:track:0oigSejhoNen2EdNAIFcm5
1,1,"Jonathan Black","Michael Layous",0,"End of Beginning",Djo,1,69,metalcore,spotify:track:3qhlB30KknSejmIvZZLjOD
1,1,"Jonathan Black","Voltron’s YoungLion",1,"Ceiling Granny",Mogwai,77,87,,spotify:track:4EVg8veaPIgAx3m2QioPdV
1,1,"Jonathan Black","Voltron’s YoungLion",1,"Back To Oz","Sufjan Stevens, Angelo De Augustine",86,70,,spotify:track:6s0F09N7jp4wSqN8vVgMQR
1,1,"Jonathan Black",jac,1,"Seanchaí","The Scratch",88,50,,spotify:track:57c0n9yCY10cZ30tXSrxOi
1,1,Mashew,"Jonathan Black",-1,"This Is A Photograph","Kevin Morby",73,76,,spotify:track:1hj8os1Xxiuo95atpJzfCp
1,1,Mashew,"Jonathan Black",1,"new body rhumba (from the film White Noise)","LCD Soundsystem",65,65,,spotify:track:2iqA5Na5vlo0bnZUf8KT1N
1,1,Mashew,"Michael Layous",1,"Hollywood Baby","100 gecs",33,100,hyperpop,spotify:track:0oigSejhoNen2EdNAIFcm5
1,1,Mashew,"Voltron’s YoungLion",2,"Ceiling Granny",Mogwai,77,87,,spotify:track:4EVg8veaPIgAx3m2QioPdV
1,1,Mashew,jac,1,"Seanchaí","The Scratch",88,50,,spotify:track:57c0n9yCY10cZ30tXSrxOi
1,1,"Michael Layous",Mashew,1,DEViL,IDK,77,98,,spotify:track:5Llanvs8zPL8f6HMY9WWf8
1,1,"Michael Layous",Tj,1,MYSTERY,Turnstile,37,66,,spotify:track:5iXnD2VizcAbErpkcuNQ6I
1,1,"Michael Layous",Tj,-1,"One Of Those Days","Dirty Heads",91,84,,spotify:track:6dsTMRIpvObTocRwTzf4Uv
1,1,"Michael Layous","Voltron’s YoungLion",1,"Ceiling Granny",Mogwai,77,87,,spotify:track:4EVg8veaPIgAx3m2QioPdV
1,1,"Michael Layous","Voltron’s YoungLion",1,"Back To Oz","Sufjan Stevens, Angelo De Augustine",86,70,,spotify:track:6s0F09N7jp4wSqN8vVgMQR
1,1,"Michael Layous",jac,1,DArkSide,"Bring Me The Horizon",24,94,metalcore,spotify:track:7mczLeiFeYKRb7vtiPjuMb
1,1,Tj,"Jonathan Black",1,"This Is A Photograph","Kevin Morby",73,76,,spotify:track:1hj8os1Xxiuo95atpJzfCp
1,1,Tj,"Jonathan Black",1,"new body rhumba (from the film White Noise)","LCD Soundsystem",65,65,,spotify:track:2iqA5Na5vlo0bnZUf8KT1N
1,1,Tj,"Michael Layous",-1,"Hollywood Baby","100 gecs",33,100,hyperpop,spotify:track:0oigSejhoNen2EdNAIFcm5
1,1,Tj,"Voltron’s YoungLion",1,"Ceiling Granny",Mogwai,77,87,,spotify:track:4EVg8veaPIgAx3m2QioPdV
1,1,Tj,"Voltron’s YoungLion",1,"Back To Oz","Sufjan Stevens, Angelo De Augustine",86,70,,spotify:track:6s0F09N7jp4wSqN8vVgMQR
1,1,Tj,jac,1,"Seanchaí","The Scratch",88,50,,spotify:track:57c0n9yCY10cZ30tXSrxOi
1,1,"Voltron’s YoungLion","Jonathan Black",1,"This Is A Photograph","Kevin Morby",73,76,,spotify:track:1hj8os1Xxiuo95atpJzfCp
1,1,"Voltron’s YoungLion","Jonathan Black",1,"new body rhumba (from the film White Noise)","LCD Soundsystem",65,65,,spotify:track:2iqA5Na5vlo0bnZUf8KT1N
1,1,"Voltron’s YoungLion",Mashew,1,DEViL,IDK,77,98,,spotify:track:5Llanvs8zPL8f6HMY9WWf8
1,1,"Voltron’s YoungLion","Michael Layous",0,"Hollywood Baby","100 gecs",33,100,hyperpop,spotify:track:0oigSejhoNen2EdNAIFcm5
1,1,"Voltron’s YoungLion",Tj,1,MYSTERY,Turnstile,37,66,,spotify:track:5iXnD2VizcAbErpkcuNQ6I
1,1,"Voltron’s YoungLion",jac,1,"Seanchaí","The Scratch",88,50,,spotify:track:57c0n9yCY10cZ30tXSrxOi
1,1,"Voltron’s YoungLion",jac,-1,DArkSide,"Bring Me The Horizon",24,94,metalcore,spotify:track:7mczLeiFeYKRb7vtiPjuMb
1,1,jac,"Jonathan Black",-1,"This Is A Photograph","Kevin Morby",73,76,,spotify:track:1hj8os1Xxiuo95atpJzfCp
1,1,jac,Mashew,1,DEViL,IDK,77,98,,spotify:track:5Llanvs8zPL8f6HMY9WWf8
1,1,jac,"Michael Layous",1,"Hollywood Baby","100 gecs",33,100,hyperpop,spotify:track:0oigSejhoNen2EdNAIFcm5
1,1,jac,Tj,1,MYSTERY,Turnstile,37,66,,spotify:track:5iXnD2VizcAbErpkcuNQ6I
1,1,jac,Tj,0,"One Of Those Days","Dirty Heads",91,84,,spotify:track:6dsTMRIpvObTocRwTzf4Uv
1,1,jac,"Voltron’s YoungLion",1,"Ceiling Granny",Mogwai,77,87,,spotify:track:4EVg8veaPIgAx3m2QioPdV
1,1,jac,"Voltron’s YoungLion",1,"Back To Oz","Sufjan Stevens, Angelo De Augustine",86,70,,spotify:track:6s0F09N7jp4wSqN8vVgMQR
1,1,jac,jac,0,DArkSide,"Bring Me The Horizon",24,94,metalcore,spotify:track:7mczLeiFeYKRb7vtiPjuMb
1,2,"Jonathan Black",Mashew,-1,"Shimmy Shimmy Ya","Ol' Dirty Bastard",40,86,,spotify:track:3ABG1UQTk0eLYUAeWkmfMi
1,2,"Jonathan Black","Philip Chapin",1,"Paranoid Android",Radiohead,2,15,"alternative rock",spotify:track:6LgJvl0Xdtc73RJ1mmpotq
1,2,"Jonathan Black","Sarah S",1,Sandstorm,Darude,29,15,trance,spotify:track:3dxDj8pDPlIHCIrUPXuCeG
1,2,"Jonathan Black",Tj,2,Blink,"88 Fingers Louie",80,61,,spotify:track:2zRfQKGRrDI0RRo7bVamAC
1,2,"Jonathan Black","Voltron’s YoungLion",0,"Crown Of The Valley","Jets To Brazil",71,78,,spotify:track:0ANIURXWEceAlBhklvA2Tg
1,2,"Jonathan Black",jac,1,"Mr. Bill Collector","Bone Thugs-N-Harmony",72,59,,spotify:track:26RiiHb1dcwbMRITBuUQGw
1,2,"Jonathan Black",missmara,3,"French Disko",Stereolab,52,31,,spotify:track:4Zb88sF1Qj778KV5lstVxT
1,2,Mashew,"Jonathan Black",0,"When You're Gone","The Cranberries",30,58,rock,spotify:track:3EXrtClWmgsM7dw75Mw2M1
1,2,Mashew,"Philip Chapin",3,"Paranoid Android",Radiohead,2,15,"alternative rock",spotify:track:6LgJvl0Xdtc73RJ1mmpotq
1,2,Mashew,"Sarah S",-1,Sandstorm,Darude,29,15,trance,spotify:track:3dxDj8pDPlIHCIrUPXuCeG
1,2,Mashew,Tj,1,Blink,"88 Fingers Louie",80,61,,spotify:track:2zRfQKGRrDI0RRo7bVamAC
1,2,Mashew,"Voltron’s YoungLion",1,"Crown Of The Valley","Jets To Brazil",71,78,,spotify:track:0ANIURXWEceAlBhklvA2Tg
1,2,Mashew,jac,1,"Mr. Bill Collector","Bone Thugs-N-Harmony",72,59,,spotify:track:26RiiHb1dcwbMRITBuUQGw
1,2,Mashew,missmara,2,"French Disko",Stereolab,52,31,,spotify:track:4Zb88sF1Qj778KV5lstVxT
1,2,"Michael Layous","Jonathan Black",1,"When You're Gone","The Cranberries",30,58,rock,spotify:track:3EXrtClWmgsM7dw75Mw2M1
1,2,"Michael Layous",Mashew,1,"Shimmy Shimmy Ya","Ol' Dirty Bastard",40,86,,spotify:track:3ABG1UQTk0eLYUAeWkmfMi
1,2,"Michael Layous","Philip Chapin",1,"Paranoid Android",Radiohead,2,15,"alternative rock",spotify:track:6LgJvl0Xdtc73RJ1mmpotq
1,2,"Michael Layous",SusieQ,-1,"I Think I'm Going To Hell - Live","My Morning Jacket",76,26,,spotify:track:4geRP2dEYVngPcQR6XGBxF
1,2,"Michael Layous",Tj,1,Blink,"88 Fingers Louie",80,61,,spotify:track:2zRfQKGRrDI0RRo7bVamAC
1,2,"Michael Layous","Voltron’s YoungLion",1,"Crown Of The Valley","Jets To Brazil",71,78,,spotify:track:0ANIURXWEceAlBhklvA2Tg
1,2,"Michael Layous",jac,3,"Mr. Bill Collector","Bone Thugs-N-Harmony",72,59,,spotify:track:26RiiHb1dcwbMRITBuUQGw
1,2,"Philip Chapin",Mashew,3,"Shimmy Shimmy Ya","Ol' Dirty Bastard",40,86,,spotify:track:3ABG1UQTk0eLYUAeWkmfMi
1,2,"Philip Chapin","Sarah S",-1,Sandstorm,Darude,29,15,trance,spotify:track:3dxDj8pDPlIHCIrUPXuCeG
1,2,"Philip Chapin",Tj,2,Blink,"88 Fingers Louie",80,61,,spotify:track:2zRfQKGRrDI0RRo7bVamAC
1,2,"Philip Chapin",jac,2,"Mr. Bill Collector","Bone Thugs-N-Harmony",72,59,,spotify:track:26RiiHb1dcwbMRITBuUQGw
1,2,"Philip Chapin",missmara,1,"French Disko",Stereolab,52,31,,spotify:track:4Zb88sF1Qj778KV5lstVxT
1,2,"Sarah S","Jonathan Black",1,"When You're Gone","The Cranberries",30,58,rock,spotify:track:3EXrtClWmgsM7dw75Mw2M1
1,2,"Sarah S",Mashew,1,"Shimmy Shimmy Ya","Ol' Dirty Bastard",40,86,,spotify:track:3ABG1UQTk0eLYUAeWkmfMi
1,2,"Sarah S","Philip Chapin",1,"Paranoid Android",Radiohead,2,15,"alternative rock",spotify:track:6LgJvl0Xdtc73RJ1mmpotq
1,2,"Sarah S",SusieQ,-1,"I Think I'm Going To Hell - Live","My Morning Jacket",76,26,,spotify:track:4geRP2dEYVngPcQR6XGBxF
1,2,"Sarah S",Tj,1,Blink,"88 Fingers Louie",80,61,,spotify:track:2zRfQKGRrDI0RRo7bVamAC
1,2,"Sarah S",jac,1,"Mr. Bill Collector","Bone Thugs-N-Harmony",72,59,,spotify:track:26RiiHb1dcwbMRITBuUQGw
1,2,"Sarah S",missmara,3,"French Disko",Stereolab,52,31,,spotify:track:4Zb88sF1Qj778KV5lstVxT
1,2,SusieQ,"Jonathan Black",1,"When You're Gone","The Cranberries",30,58,rock,spotify:track:3EXrtClWmgsM7dw75Mw2M1
1,2,SusieQ,"Michael Layous",1,"Independence Day","Elliott Smith",39,57,,spotify:track:3pM7gfel0ho7yVJw4KK5Eq
1,2,SusieQ,"Philip Chapin",2,"Paranoid Android",Radiohead,2,15,"alternative rock",spotify:track:6LgJvl0Xdtc73RJ1mmpotq
1,2,SusieQ,"Sarah S",1,Sandstorm,Darude,29,15,trance,spotify:track:3dxDj8pDPlIHCIrUPXuCeG
1,2,SusieQ,Tj,1,Blink,"88 Fingers Louie",80,61,,spotify:track:2zRfQKGRrDI0RRo7bVamAC
1,2,SusieQ,jac,-1,"Mr. Bill Collector","Bone Thugs-N-Harmony",72,59,,spotify:track:26RiiHb1dcwbMRITBuUQGw
1,2,SusieQ,missmara,2,"French Disko",Stereolab,52,31,,spotify:track:4Zb88sF1Qj778KV5lstVxT
1,2,Tj,"Jonathan Black",1,"When You're Gone","The Cranberries",30,58,rock,spotify:track:3EXrtClWmgsM7dw75Mw2M1
1,2,Tj,Mashew,3,"Shimmy Shimmy Ya","Ol' Dirty Bastard",40,86,,spotify:track:3ABG1UQTk0eLYUAeWkmfMi
1,2,Tj,"Philip Chapin",1,"Paranoid Android",Radiohead,2,15,"alternative rock",spotify:track:6LgJvl0Xdtc73RJ1mmpotq
1,2,Tj,"Voltron’s YoungLion",2,"Crown Of The Valley","Jets To Brazil",71,78,,spotify:track:0ANIURXWEceAlBhklvA2Tg
